,ID,GrossMonthlyIncome,CreditCardPayment,CarPayment,StudentLoanPayments,AppraisedValue,DownPayment,LoanAmount,MonthlyMortgagePayment,CreditScore,Approval,Reason
0,1,3103.0,317.0,374.0,250.0,268468.0,32216.16,236251.84,1127.9,778,No,"DTI is high, should be 43 or less prefereably less than 28%"
1,2,2939.0,368.0,395.0,228.0,335467.0,30192.03,305274.97,2240.0,546,No,"Credit Score is too low, should be 640 or above"
2,3,4676.0,222.0,352.0,368.0,461177.0,36894.16,424282.84,2277.64,736,No,"DTI is high, should be 43 or less prefereably less than 28%"
3,4,8469.0,224.0,416.0,400.0,326904.0,22883.28,304020.72,1451.44,761,No,"DTI is high, should be 43 or less prefereably less than 28%"
4,5,2406.0,497.0,385.0,444.0,472661.0,23633.05,449027.95,2987.39,615,No,"Credit Score is too low, should be 640 or above"
5,6,9128.0,219.0,424.0,220.0,403922.0,117137.38,286784.62,1719.42,661,Yes,You pass all criteria
6,7,8717.0,249.0,363.0,395.0,365483.0,73096.6,292386.4,1232.71,811,Yes,You pass all criteria
7,8,8194.0,315.0,353.0,303.0,269907.0,72874.89,197032.11,1310.86,648,Yes,You pass all criteria
8,9,8582.0,261.0,435.0,204.0,248121.0,12406.05,235714.95,1265.37,742,No,"DTI is high, should be 43 or less prefereably less than 28%"
9,10,8832.0,351.0,470.0,203.0,408375.0,20418.75,387956.25,2846.69,554,No,"Credit Score is too low, should be 640 or above"
10,11,2829.0,254.0,368.0,412.0,472566.0,80336.22,392229.78,1872.56,780,No,"DTI is high, should be 43 or less prefereably less than 28%"
11,12,7997.0,476.0,415.0,304.0,476901.0,100149.21,376751.79,2258.82,658,No,"DTI is high, should be 43 or less prefereably less than 28%"
12,13,8815.0,381.0,355.0,358.0,447858.0,62700.12,385157.88,2067.61,733,No,"DTI is high, should be 43 or less prefereably less than 28%"
13,14,4353.0,407.0,438.0,424.0,401394.0,76264.86,325129.14,2385.68,525,No,"Credit Score is too low, should be 640 or above"
14,15,8909.0,419.0,422.0,449.0,390002.0,81900.42,308101.58,2260.74,569,No,"Credit Score is too low, should be 640 or above"
15,16,9580.0,399.0,399.0,385.0,285104.0,37063.52,248040.48,1331.53,706,No,"DTI is high, should be 43 or less prefereably less than 28%"
16,17,4030.0,341.0,420.0,205.0,465246.0,55829.52,409416.48,3004.15,574,No,"Credit Score is too low, should be 640 or above"
17,18,7012.0,366.0,475.0,406.0,413464.0,70288.88,343175.12,2518.1,570,No,"Credit Score is too low, should be 640 or above"
18,19,3519.0,288.0,449.0,271.0,241549.0,67633.72,173915.28,1276.13,532,No,"Credit Score is too low, should be 640 or above"
19,20,4450.0,471.0,468.0,230.0,484448.0,92045.12,392402.88,1873.39,771,No,"DTI is high, should be 43 or less prefereably less than 28%"
20,21,2862.0,444.0,362.0,434.0,499329.0,79892.64,419436.36,2514.73,695,No,"DTI is high, should be 43 or less prefereably less than 28%"
21,22,4168.0,322.0,439.0,369.0,442517.0,123904.76,318612.24,2337.86,574,No,"Credit Score is too low, should be 640 or above"
22,23,5472.0,314.0,443.0,379.0,310350.0,27931.5,282418.5,2072.29,650,No,"DTI is high, should be 43 or less prefereably less than 28%"
23,24,6748.0,311.0,426.0,296.0,342326.0,54772.16,287553.84,2109.97,533,No,"Credit Score is too low, should be 640 or above"
24,25,3060.0,300.0,411.0,404.0,387148.0,19357.4,367790.6,1974.38,732,No,"DTI is high, should be 43 or less prefereably less than 28%"
25,26,8350.0,490.0,434.0,377.0,432555.0,38929.95,393625.05,2888.28,592,No,"Credit Score is too low, should be 640 or above"
26,27,2527.0,232.0,377.0,322.0,313293.0,56392.74,256900.26,1885.04,585,No,"Credit Score is too low, should be 640 or above"
27,28,5236.0,337.0,367.0,240.0,283298.0,70824.5,212473.5,1413.59,639,No,"Credit Score is too low, should be 640 or above"
28,29,7993.0,392.0,360.0,381.0,412215.0,20610.75,391604.25,2102.22,729,No,"DTI is high, should be 43 or less prefereably less than 28%"
29,30,6461.0,295.0,381.0,395.0,239093.0,57382.32,181710.68,1089.45,666,Yes,You pass all criteria
30,31,6296.0,255.0,465.0,362.0,329293.0,69151.53,260141.47,1096.77,812,Yes,You pass all criteria
31,32,7057.0,348.0,439.0,422.0,297387.0,14869.35,282517.65,2073.01,501,No,"Credit Score is too low, should be 640 or above"
32,33,6828.0,274.0,361.0,215.0,473699.0,123161.74,350537.26,1673.52,798,Yes,You pass all criteria
33,34,3138.0,486.0,374.0,441.0,374944.0,89986.56,284957.44,1895.83,615,No,"Credit Score is too low, should be 640 or above"
34,35,9391.0,282.0,479.0,378.0,364140.0,43696.8,320443.2,1529.84,794,No,"DTI is high, should be 43 or less prefereably less than 28%"
35,36,2280.0,251.0,440.0,275.0,322941.0,35523.51,287417.49,1723.21,687,No,"DTI is high, should be 43 or less prefereably less than 28%"
36,37,2948.0,487.0,438.0,240.0,455446.0,45544.6,409901.4,2200.44,723,No,"DTI is high, should be 43 or less prefereably less than 28%"
37,38,8158.0,339.0,368.0,309.0,243152.0,46198.88,196953.12,1057.29,707,No,"DTI is high, should be 43 or less prefereably less than 28%"
38,39,6888.0,483.0,479.0,260.0,460899.0,87570.81,373328.19,2238.29,664,No,"DTI is high, should be 43 or less prefereably less than 28%"
39,40,5898.0,420.0,383.0,229.0,237732.0,54678.36,183053.64,1217.86,636,No,"Credit Score is too low, should be 640 or above"
40,41,6836.0,438.0,451.0,250.0,349490.0,97857.2,251632.8,1846.39,522,No,"Credit Score is too low, should be 640 or above"
41,42,2004.0,338.0,447.0,297.0,286237.0,71559.25,214677.75,1575.23,586,No,"Credit Score is too low, should be 640 or above"
42,43,9018.0,433.0,455.0,253.0,307261.0,15363.05,291897.95,1566.97,710,No,"DTI is high, should be 43 or less prefereably less than 28%"
43,44,2096.0,279.0,386.0,380.0,465616.0,116404.0,349212.0,1667.19,795,No,"DTI is high, should be 43 or less prefereably less than 28%"
44,45,9876.0,496.0,388.0,325.0,322165.0,38659.8,283505.2,1699.76,678,No,"DTI is high, should be 43 or less prefereably less than 28%"
45,46,4922.0,334.0,433.0,351.0,269467.0,48504.06,220962.94,1621.35,556,No,"Credit Score is too low, should be 640 or above"
46,47,4310.0,431.0,466.0,362.0,438470.0,65770.5,372699.5,2000.73,732,No,"DTI is high, should be 43 or less prefereably less than 28%"
47,48,4701.0,420.0,434.0,210.0,341408.0,30726.72,310681.28,1483.24,766,No,"DTI is high, should be 43 or less prefereably less than 28%"
48,49,7641.0,340.0,469.0,286.0,291836.0,26265.24,265570.76,1948.66,541,No,"Credit Score is too low, should be 640 or above"
49,50,3460.0,410.0,465.0,428.0,271147.0,67786.75,203360.25,1091.68,745,No,"DTI is high, should be 43 or less prefereably less than 28%"
50,51,2532.0,308.0,459.0,286.0,451273.0,67690.95,383582.05,2814.59,576,No,"Credit Score is too low, should be 640 or above"
51,52,2746.0,219.0,408.0,242.0,430821.0,86164.2,344656.8,2066.39,659,No,"DTI is high, should be 43 or less prefereably less than 28%"
52,53,8811.0,316.0,391.0,363.0,315497.0,44169.58,271327.42,1626.74,674,No,"DTI is high, should be 43 or less prefereably less than 28%"
53,54,2824.0,361.0,403.0,424.0,396207.0,95089.68,301117.32,1805.35,693,No,"DTI is high, should be 43 or less prefereably less than 28%"
54,55,6239.0,221.0,467.0,293.0,239831.0,64754.37,175076.63,1284.65,586,No,"Credit Score is too low, should be 640 or above"
55,56,9076.0,405.0,379.0,316.0,462570.0,46257.0,416313.0,2769.74,625,No,"Credit Score is too low, should be 640 or above"
56,57,7093.0,366.0,421.0,243.0,294303.0,61803.63,232499.37,1546.82,633,No,"Credit Score is too low, should be 640 or above"
57,58,5780.0,468.0,459.0,407.0,440180.0,70428.8,369751.2,2713.1,546,No,"Credit Score is too low, should be 640 or above"
58,59,7589.0,313.0,402.0,216.0,358911.0,46658.43,312252.57,2291.2,515,No,"Credit Score is too low, should be 640 or above"
59,60,9852.0,230.0,376.0,303.0,429903.0,77382.54,352520.46,2345.33,634,No,"Credit Score is too low, should be 640 or above"
60,61,2638.0,418.0,403.0,323.0,298247.0,17894.82,280352.18,1680.85,653,No,"DTI is high, should be 43 or less prefereably less than 28%"
61,62,3138.0,293.0,460.0,232.0,284459.0,17067.54,267391.46,1127.33,842,No,"DTI is high, should be 43 or less prefereably less than 28%"
62,63,7597.0,301.0,463.0,378.0,422126.0,42212.6,379913.4,1813.76,755,No,"DTI is high, should be 43 or less prefereably less than 28%"
63,64,7296.0,365.0,478.0,324.0,367543.0,102912.04,264630.96,1760.6,639,No,"Credit Score is too low, should be 640 or above"
64,65,9393.0,327.0,351.0,396.0,492711.0,137959.08,354751.92,2360.17,619,No,"Credit Score is too low, should be 640 or above"
65,66,3192.0,305.0,472.0,403.0,258932.0,23303.88,235628.12,1264.9,716,No,"DTI is high, should be 43 or less prefereably less than 28%"
66,67,7969.0,293.0,497.0,235.0,279250.0,80982.5,198267.5,1188.71,654,Yes,You pass all criteria
67,68,9814.0,288.0,446.0,342.0,367849.0,44141.88,323707.12,1545.43,775,No,"DTI is high, should be 43 or less prefereably less than 28%"
68,69,4689.0,243.0,466.0,346.0,250049.0,32506.37,217542.63,1038.58,773,No,"DTI is high, should be 43 or less prefereably less than 28%"
69,70,7562.0,475.0,416.0,277.0,324348.0,64869.6,259478.4,1903.96,539,No,"Credit Score is too low, should be 640 or above"
70,71,8139.0,349.0,425.0,438.0,466044.0,69906.6,396137.4,1891.22,796,No,"DTI is high, should be 43 or less prefereably less than 28%"
71,72,8185.0,404.0,482.0,313.0,296998.0,41579.72,255418.28,1371.14,737,No,"DTI is high, should be 43 or less prefereably less than 28%"
72,73,2670.0,395.0,410.0,316.0,430636.0,120578.08,310057.92,2062.82,646,No,"DTI is high, should be 43 or less prefereably less than 28%"
73,74,2477.0,324.0,398.0,358.0,431552.0,25893.12,405658.88,2976.58,584,No,"Credit Score is too low, should be 640 or above"
74,75,8620.0,244.0,486.0,214.0,453685.0,36294.8,417390.2,3062.66,549,No,"Credit Score is too low, should be 640 or above"
75,76,8181.0,412.0,360.0,213.0,305392.0,58024.48,247367.52,1483.09,698,No,"DTI is high, should be 43 or less prefereably less than 28%"
76,77,3913.0,362.0,426.0,274.0,248170.0,37225.5,210944.5,1132.4,726,No,"DTI is high, should be 43 or less prefereably less than 28%"
77,78,7127.0,278.0,431.0,234.0,491642.0,132743.34,358898.66,2151.78,698,No,"DTI is high, should be 43 or less prefereably less than 28%"
78,79,2138.0,397.0,488.0,233.0,462541.0,87882.79,374658.21,2246.27,649,No,"DTI is high, should be 43 or less prefereably less than 28%"
79,80,8136.0,258.0,457.0,396.0,407840.0,77489.6,330350.4,1773.39,709,No,"DTI is high, should be 43 or less prefereably less than 28%"
80,81,7944.0,384.0,414.0,353.0,304287.0,69986.01,234300.99,1558.81,645,Yes,You pass all criteria
81,82,9845.0,247.0,464.0,335.0,356831.0,67797.89,289033.11,1922.94,637,No,"Credit Score is too low, should be 640 or above"
82,83,7436.0,244.0,374.0,273.0,302894.0,72694.56,230199.44,1689.12,531,No,"Credit Score is too low, should be 640 or above"
83,84,2588.0,300.0,451.0,204.0,272185.0,54437.0,217748.0,1597.76,565,No,"Credit Score is too low, should be 640 or above"
84,85,8097.0,387.0,443.0,295.0,258761.0,38814.15,219946.85,1318.69,695,No,"DTI is high, should be 43 or less prefereably less than 28%"
85,86,7764.0,489.0,451.0,292.0,453895.0,63545.3,390349.7,2095.48,704,No,"DTI is high, should be 43 or less prefereably less than 28%"
86,87,5770.0,408.0,474.0,415.0,273532.0,13676.6,259855.4,1728.82,644,No,"DTI is high, should be 43 or less prefereably less than 28%"
87,88,3343.0,264.0,374.0,248.0,433090.0,34647.2,398442.8,2650.85,619,No,"Credit Score is too low, should be 640 or above"
88,89,8256.0,233.0,499.0,400.0,392365.0,102014.9,290350.1,2130.49,502,No,"Credit Score is too low, should be 640 or above"
89,90,5571.0,452.0,431.0,245.0,486339.0,121584.75,364754.25,1958.08,736,No,"DTI is high, should be 43 or less prefereably less than 28%"
90,91,6880.0,488.0,438.0,270.0,429352.0,38641.68,390710.32,2866.89,529,No,"Credit Score is too low, should be 640 or above"
91,92,4963.0,355.0,354.0,256.0,470956.0,47095.6,423860.4,2023.57,778,No,"DTI is high, should be 43 or less prefereably less than 28%"
92,93,9908.0,340.0,408.0,415.0,493646.0,128347.96,365298.04,1743.99,763,Yes,You pass all criteria
93,94,8921.0,481.0,475.0,443.0,299451.0,59890.2,239560.8,1757.81,503,No,"Credit Score is too low, should be 640 or above"
94,95,7028.0,424.0,433.0,348.0,451762.0,76799.54,374962.46,2494.63,621,No,"Credit Score is too low, should be 640 or above"
95,96,9467.0,481.0,352.0,370.0,299205.0,44880.75,254324.25,1365.27,718,No,"DTI is high, should be 43 or less prefereably less than 28%"
96,97,3408.0,427.0,417.0,326.0,454991.0,104647.93,350343.07,2330.84,613,No,"Credit Score is too low, should be 640 or above"
97,98,9160.0,228.0,455.0,252.0,299081.0,74770.25,224310.75,1204.15,707,Yes,You pass all criteria
98,99,5200.0,438.0,480.0,447.0,387588.0,34882.92,352705.08,2588.02,548,No,"Credit Score is too low, should be 640 or above"
99,100,4704.0,467.0,422.0,431.0,453290.0,45329.0,407961.0,2993.47,589,No,"Credit Score is too low, should be 640 or above"
100,101,3566.0,291.0,479.0,353.0,443941.0,53272.92,390668.08,2866.58,523,No,"Credit Score is too low, should be 640 or above"
101,102,8837.0,424.0,433.0,310.0,395914.0,51468.82,344445.18,2527.42,585,No,"Credit Score is too low, should be 640 or above"
102,103,2985.0,420.0,402.0,274.0,484150.0,101671.5,382478.5,2293.15,680,No,"DTI is high, should be 43 or less prefereably less than 28%"
103,104,8870.0,268.0,409.0,346.0,348057.0,34805.7,313251.3,1878.1,652,No,"DTI is high, should be 43 or less prefereably less than 28%"
104,105,7171.0,460.0,449.0,261.0,347111.0,34711.1,312399.9,1677.03,730,No,"DTI is high, should be 43 or less prefereably less than 28%"
105,106,8901.0,410.0,440.0,381.0,366209.0,43945.08,322263.92,2364.66,565,No,"Credit Score is too low, should be 640 or above"
106,107,4289.0,256.0,387.0,348.0,462369.0,134087.01,328281.99,1567.27,781,No,"DTI is high, should be 43 or less prefereably less than 28%"
107,108,9265.0,493.0,471.0,222.0,399977.0,95994.48,303982.52,2230.52,569,No,"Credit Score is too low, should be 640 or above"
108,109,9740.0,354.0,406.0,237.0,385752.0,42432.72,343319.28,1843.01,705,No,"DTI is high, should be 43 or less prefereably less than 28%"
109,110,9018.0,324.0,406.0,276.0,237087.0,68755.23,168331.77,1119.92,607,No,"Credit Score is too low, should be 640 or above"
110,111,5927.0,486.0,383.0,282.0,397229.0,35750.61,361478.39,1524.01,841,No,"DTI is high, should be 43 or less prefereably less than 28%"
111,112,7132.0,413.0,433.0,420.0,275140.0,41271.0,233869.0,986.0,837,No,"DTI is high, should be 43 or less prefereably less than 28%"
112,113,5986.0,337.0,456.0,410.0,485934.0,68030.76,417903.24,1995.13,781,No,"DTI is high, should be 43 or less prefereably less than 28%"
113,114,2478.0,330.0,442.0,271.0,372498.0,44699.76,327798.24,1382.01,843,No,"DTI is high, should be 43 or less prefereably less than 28%"
114,115,9399.0,251.0,368.0,281.0,363241.0,39956.51,323284.49,1735.46,745,No,"DTI is high, should be 43 or less prefereably less than 28%"
115,116,3141.0,228.0,385.0,391.0,302726.0,45408.9,257317.1,1228.47,783,No,"DTI is high, should be 43 or less prefereably less than 28%"
116,117,2801.0,415.0,447.0,267.0,484987.0,53348.57,431638.43,2871.7,620,No,"Credit Score is too low, should be 640 or above"
117,118,7145.0,348.0,379.0,359.0,248811.0,64690.86,184120.14,1103.89,682,Yes,You pass all criteria
118,119,5382.0,360.0,462.0,392.0,393000.0,102180.0,290820.0,1226.11,809,No,"DTI is high, should be 43 or less prefereably less than 28%"
119,120,9986.0,227.0,386.0,438.0,266420.0,61276.6,205143.4,1505.27,536,No,"Credit Score is too low, should be 640 or above"
120,121,3086.0,230.0,405.0,262.0,458876.0,82597.68,376278.32,2019.94,714,No,"DTI is high, should be 43 or less prefereably less than 28%"
121,122,5889.0,208.0,402.0,278.0,408502.0,69445.34,339056.66,2487.88,585,No,"Credit Score is too low, should be 640 or above"
122,123,6724.0,439.0,374.0,214.0,382436.0,19121.8,363314.2,2665.87,580,No,"Credit Score is too low, should be 640 or above"
123,124,6455.0,381.0,471.0,380.0,349466.0,90861.16,258604.84,1234.62,781,Yes,You pass all criteria
124,125,5866.0,225.0,396.0,357.0,387925.0,100860.5,287064.5,1909.85,638,No,"Credit Score is too low, should be 640 or above"
125,126,6116.0,311.0,372.0,235.0,384615.0,61538.4,323076.6,2149.44,619,No,"Credit Score is too low, should be 640 or above"
126,127,7274.0,388.0,446.0,298.0,468506.0,51535.66,416970.34,3059.58,553,No,"Credit Score is too low, should be 640 or above"
127,128,8937.0,485.0,371.0,240.0,433729.0,117106.83,316622.17,1334.89,831,Yes,You pass all criteria
128,129,7654.0,237.0,473.0,373.0,278267.0,66784.08,211482.92,1135.29,727,Yes,You pass all criteria
129,130,4237.0,388.0,473.0,333.0,408597.0,98063.28,310533.72,1861.81,671,No,"DTI is high, should be 43 or less prefereably less than 28%"
130,131,4478.0,441.0,488.0,362.0,412097.0,61814.55,350282.45,1476.8,832,No,"DTI is high, should be 43 or less prefereably less than 28%"
131,132,6391.0,290.0,380.0,355.0,352426.0,91630.76,260795.24,1099.52,807,Yes,You pass all criteria
132,133,9084.0,465.0,483.0,441.0,451587.0,108380.88,343206.12,1638.52,767,Yes,You pass all criteria
133,134,7085.0,361.0,391.0,278.0,321686.0,77204.64,244481.36,1030.74,844,Yes,You pass all criteria
134,135,2429.0,364.0,396.0,363.0,372747.0,37274.7,335472.3,1414.36,847,No,"DTI is high, should be 43 or less prefereably less than 28%"
